71,3,
5,15,0
7,19,10
9,23,30
11,28,60
13,32,100
15,34,150
17,38,230
19,42,350
21,48,500
23,51,700
26,55,950
28,61,1200
31,65,1500
34,68,1800
37,71,2300
41,74,2800
44,77,3500
47,81,4200
50,85,5000
53,88,6000
56,92,7000
58,98,8000
60,100,10000
63,103,13000
66,107,16000
70,110,20000
74,112,25000
78,118,30000
80,123,36000
82,128,42000
84,132,48000
86,136,54000
88,140,60000
90,144,70000
91,148,80000
92,152,90000
93,156,100000
94,160,115000
95,164,130000
96,168,145000
97,172,160000
98,176,175000
99,180,200000
100,184,230000
101,188,260000
102,192,290000
103,196,320000
104,200,350000
105,204,380000
106,208,410000
107,212,440000
108,216,470000
109,220,500000
110,224,530000
111,228,560000
112,232,590000
113,236,620000
115,240,650000
116,244,680000
117,248,710000
118,252,740000
119,255,770000
120,255,800000
121,255,830000
122,255,860000
123,255,890000
124,255,920000
125,255,950000
126,255,980000
127,255,999999
